Day;Titik;ADCpHTanah;pHTanah;ADCKelembabanTanah ;KelembabanTanah;SuhuUdara;KelembabanUdara;Label;pHTanah
1;1;243;4.41;578;43;39;55;Tidak;4,41
1;1;242;4.42;578;43;39;55;Tidak;4,42
1;1;242;4.42;580;43;39;55;Tidak;4,42
1;1;242;4.42;580;43;39;55;Tidak;4,42
1;1;243;4.41;581;43;39;54;Tidak;4,41
1;1;243;4.41;581;43;39;54;Tidak;4,41
1;1;243;4.41;581;43;39;54;Tidak;4,41
1;1;124;6.06;606;41;39;54;Tidak;6,06
1;1;111;6.24;542;47;39;54;Tidak;6,24
1;1;199;5.02;566;45;39;54;Tidak;5,02
1;1;215;4.8;572;44;39;54;Tidak;4,80
1;1;220;4.73;574;44;39;54;Tidak;4,73
1;1;223;4.69;575;44;40;53;Tidak;4,69
1;1;225;4.66;576;44;40;53;Tidak;4,66
1;1;229;4.6;578;43;40;53;Tidak;4,60
1;1;229;4.6;578;43;40;53;Tidak;4,60
1;1;232;4.56;579;43;40;53;Tidak;4,56
1;1;231;4.57;579;43;40;53;Tidak;4,57
1;1;232;4.56;581;43;40;53;Tidak;4,56
1;1;232;4.56;581;43;40;53;Tidak;4,56
1;1;234;4.53;582;43;40;54;Tidak;4,53
1;1;233;4.55;581;43;40;54;Tidak;4,55
1;1;235;4.52;583;43;40;54;Tidak;4,52
1;1;234;4.53;582;43;40;54;Tidak;4,53
1;1;234;4.53;583;43;40;53;Tidak;4,53
1;1;235;4.52;584;43;40;53;Tidak;4,52
1;1;236;4.5;585;43;40;53;Tidak;4,50
1;1;236;4.5;585;43;40;53;Tidak;4,50
1;1;237;4.49;585;43;40;53;Tidak;4,49
1;1;237;4.49;586;43;40;53;Tidak;4,49
1;1;237;4.49;587;43;40;53;Tidak;4,49
1;1;237;4.49;587;43;40;53;Tidak;4,49
1;1;239;4.46;587;43;41;53;Tidak;4,46
1;1;238;4.48;588;43;41;53;Tidak;4,48
1;1;246;4.37;608;41;41;53;Tidak;4,37
1;1;113;6.21;613;40;41;53;Tidak;6,21
1;1;175;5.35;573;44;41;53;Tidak;5,35
1;1;192;5.12;576;44;41;53;Tidak;5,12
1;1;211;4.85;582;43;41;53;Tidak;4,85
1;1;216;4.78;584;43;41;53;Tidak;4,78
1;1;222;4.7;586;43;41;53;Tidak;4,70
1;1;224;4.67;587;43;41;53;Tidak;4,67
1;1;228;4.62;589;42;41;52;Tidak;4,62
1;1;229;4.6;590;42;41;52;Tidak;4,60
1;1;232;4.56;591;42;41;52;Tidak;4,56
1;1;232;4.56;591;42;41;52;Tidak;4,56
1;1;234;4.53;592;42;41;52;Tidak;4,53
1;1;234;4.53;592;42;41;52;Tidak;4,53
1;1;235;4.52;593;42;41;52;Tidak;4,52
1;1;235;4.52;593;42;41;52;Tidak;4,52
1;1;237;4.49;595;42;42;51;Tidak;4,49
1;1;236;4.5;595;42;42;51;Tidak;4,50
1;1;237;4.49;595;42;42;50;Tidak;4,49
1;1;237;4.49;596;42;42;50;Tidak;4,49
1;1;238;4.48;597;42;42;50;Tidak;4,48
1;1;238;4.48;597;42;42;50;Tidak;4,48
1;1;238;4.48;598;42;42;49;Tidak;4,48
1;1;237;4.49;598;42;42;49;Tidak;4,49
1;1;238;4.48;599;41;42;49;Tidak;4,48
1;1;239;4.46;599;41;42;49;Tidak;4,46
1;1;240;4.45;600;41;42;48;Tidak;4,45
1;1;239;4.46;600;41;42;48;Tidak;4,46
1;1;136;5.89;624;39;42;47;Ya;5,89
1;1;131;5.96;623;39;42;47;Ya;5,96
1;1;89;6.55;625;39;42;46;Tidak;6,55
1;1;145;5.77;583;43;42;46;Ya;5,77
1;1;184;5.23;586;43;43;45;Ya;5,23
1;1;205;4.94;592;42;43;45;Tidak;4,94
1;1;216;4.78;595;42;43;46;Tidak;4,78
1;1;219;4.74;597;42;43;46;Tidak;4,74
1;1;226;4.64;599;41;43;47;Tidak;4,64
1;1;227;4.63;599;41;43;47;Tidak;4,63
1;1;229;4.6;600;41;43;47;Tidak;4,60
1;1;232;4.56;601;41;43;47;Tidak;4,56
1;1;234;4.53;602;41;43;48;Tidak;4,53
1;1;233;4.55;602;41;43;48;Tidak;4,55
1;1;235;4.52;603;41;43;47;Tidak;4,52
1;1;235;4.52;603;41;43;47;Tidak;4,52
1;1;237;4.49;603;41;43;47;Tidak;4,49
1;1;237;4.49;604;41;43;47;Tidak;4,49
1;1;238;4.48;604;41;43;48;Tidak;4,48
1;1;238;4.48;604;41;43;48;Tidak;4,48
1;1;239;4.46;605;41;43;48;Tidak;4,46
1;1;234;4.53;605;41;43;48;Tidak;4,53
1;1;240;4.45;605;41;43;48;Tidak;4,45
1;1;239;4.46;605;41;43;48;Tidak;4,46
1;1;239;4.46;605;41;43;48;Tidak;4,46
1;1;239;4.46;605;41;43;48;Tidak;4,46
1;1;240;4.45;606;41;43;48;Tidak;4,45
1;1;239;4.46;606;41;43;48;Tidak;4,46
1;1;240;4.45;606;41;43;48;Tidak;4,45
1;2;241;4.44;607;41;43;48;Tidak;4,44
1;2;240;4.45;607;41;43;48;Tidak;4,45
1;2;241;4.44;607;41;43;48;Tidak;4,44
1;2;241;4.44;607;41;43;47;Tidak;4,44
1;2;242;4.42;608;41;43;47;Tidak;4,42
1;2;243;4.41;608;41;43;47;Tidak;4,41
1;2;241;4.44;608;41;43;47;Tidak;4,44
1;2;242;4.42;608;41;43;47;Tidak;4,42
1;2;241;4.44;608;41;43;47;Tidak;4,44
1;2;243;4.41;609;40;43;47;Tidak;4,41
1;2;243;4.41;609;40;43;47;Tidak;4,41
1;2;244;4.39;610;40;43;46;Tidak;4,39
1;2;149;5.71;630;38;43;46;Ya;5,71
1;2;132;5.95;612;40;44;46;Ya;5,95
1;2;146;5.76;614;40;44;46;Ya;5,76
1;2;164;5.51;614;40;44;46;Ya;5,51
1;2;159;5.58;586;43;44;46;Ya;5,58
1;2;1;7.77;527;48;44;47;Tidak;7,77
1;2;175;5.35;580;43;44;47;Ya;5,35
1;2;200;5.01;589;42;44;46;Ya;5,01
1;2;207;4.91;591;42;44;46;Tidak;4,91
1;2;214;4.81;594;42;44;46;Tidak;4,81
1;2;218;4.75;595;42;44;46;Tidak;4,75
1;2;223;4.69;597;42;44;45;Tidak;4,69
1;2;226;4.64;599;41;44;45;Tidak;4,64
1;2;229;4.6;601;41;44;45;Tidak;4,60
1;2;229;4.6;601;41;44;45;Tidak;4,60
1;2;232;4.56;602;41;45;43;Tidak;4,56
1;2;233;4.55;602;41;45;43;Tidak;4,55
1;2;234;4.53;604;41;45;42;Tidak;4,53
1;2;235;4.52;604;41;45;42;Tidak;4,52
1;2;236;4.5;605;41;45;41;Tidak;4,50
1;2;236;4.5;605;41;45;41;Tidak;4,50
1;2;238;4.48;606;41;45;41;Tidak;4,48
1;2;238;4.48;607;41;45;41;Tidak;4,48
1;2;237;4.49;607;41;45;40;Tidak;4,49
1;2;237;4.49;607;41;45;40;Tidak;4,49
1;2;238;4.48;608;41;45;40;Tidak;4,48
1;2;238;4.48;608;41;45;40;Tidak;4,48
1;2;239;4.46;608;41;46;40;Tidak;4,46
1;2;238;4.48;609;40;46;40;Tidak;4,48
1;2;239;4.46;609;40;46;39;Tidak;4,46
1;2;239;4.46;610;40;46;39;Tidak;4,46
1;2;241;4.44;610;40;46;39;Tidak;4,44
1;2;240;4.45;610;40;46;39;Tidak;4,45
1;2;242;4.42;610;40;46;39;Tidak;4,42
1;2;241;4.44;610;40;46;39;Tidak;4,44
1;2;242;4.42;610;40;46;39;Tidak;4,42
1;2;242;4.42;611;40;46;39;Tidak;4,42
1;2;243;4.41;612;40;47;39;Tidak;4,41
1;2;241;4.44;611;40;47;39;Tidak;4,44
1;2;243;4.41;612;40;47;39;Tidak;4,41
1;2;242;4.42;612;40;47;39;Tidak;4,42
1;2;244;4.39;613;40;47;39;Tidak;4,39
1;2;242;4.42;612;40;47;39;Tidak;4,42
1;2;243;4.41;613;40;47;38;Tidak;4,41
1;2;243;4.41;613;40;47;38;Tidak;4,41
1;2;244;4.39;613;40;47;38;Tidak;4,39
1;2;244;4.39;614;40;47;38;Tidak;4,39
1;2;244;4.39;614;40;47;38;Tidak;4,39
1;2;243;4.41;613;40;47;38;Tidak;4,41
1;2;245;4.38;614;40;47;38;Tidak;4,38
1;2;244;4.39;614;40;47;38;Tidak;4,39
1;2;245;4.38;614;40;47;38;Tidak;4,38
1;2;244;4.39;615;40;47;38;Tidak;4,39
1;2;245;4.38;615;40;47;38;Tidak;4,38
1;2;247;4.35;616;40;47;38;Tidak;4,35
1;2;247;4.35;616;40;47;38;Tidak;4,35
1;2;247;4.35;616;40;47;38;Tidak;4,35
1;2;248;4.34;616;40;47;38;Tidak;4,34
1;2;247;4.35;616;40;47;38;Tidak;4,35
1;2;249;4.32;617;40;47;39;Tidak;4,32
1;2;248;4.34;617;40;47;39;Tidak;4,34
1;2;249;4.32;618;40;48;38;Tidak;4,32
1;2;249;4.32;618;40;48;38;Tidak;4,32
1;2;249;4.32;618;40;48;37;Tidak;4,32
1;2;249;4.32;618;40;48;37;Tidak;4,32
1;2;250;4.31;619;39;48;37;Tidak;4,31
1;2;250;4.31;619;39;48;37;Tidak;4,31
1;2;250;4.31;620;39;48;37;Tidak;4,31
1;2;249;4.32;620;39;48;37;Tidak;4,32
1;2;249;4.32;620;39;48;37;Tidak;4,32
1;2;250;4.31;620;39;48;37;Tidak;4,31
1;2;251;4.3;621;39;48;38;Tidak;4,30
1;2;250;4.31;621;39;48;38;Tidak;4,31
1;2;252;4.28;622;39;48;37;Tidak;4,28
1;2;252;4.28;622;39;48;37;Tidak;4,28
1;2;254;4.25;623;39;48;37;Tidak;4,25
1;2;252;4.28;622;39;48;37;Tidak;4,28
1;2;253;4.27;623;39;48;37;Tidak;4,27
1;2;252;4.28;623;39;48;37;Tidak;4,28
1;2;253;4.27;623;39;48;38;Tidak;4,27
1;2;252;4.28;623;39;48;38;Tidak;4,28
1;2;254;4.25;623;39;48;38;Tidak;4,25
1;2;252;4.28;623;39;48;38;Tidak;4,28
1;2;259;4.19;626;39;49;38;Tidak;4,19
1;2;260;4.17;627;39;49;38;Tidak;4,17
1;2;256;4.23;625;39;49;37;Tidak;4,23
1;2;257;4.21;624;39;49;37;Tidak;4,21
1;2;256;4.23;625;39;49;36;Tidak;4,23
1;2;253;4.27;625;39;49;36;Tidak;4,27
1;2;254;4.25;625;39;49;36;Tidak;4,25
1;2;253;4.27;625;39;49;36;Tidak;4,27
1;2;254;4.25;626;39;49;35;Tidak;4,25
1;2;250;4.31;625;39;49;35;Tidak;4,31
1;2;251;4.3;625;39;49;35;Tidak;4,30
1;2;251;4.3;625;39;49;35;Tidak;4,30
1;2;252;4.28;626;39;49;35;Tidak;4,28
1;2;251;4.3;626;39;49;35;Tidak;4,30
1;2;252;4.28;626;39;49;35;Tidak;4,28
1;2;252;4.28;626;39;49;35;Tidak;4,28
1;2;166;5.48;613;40;49;35;Ya;5,48
1;2;185;5.21;603;41;49;35;Ya;5,21
1;2;208;4.89;609;40;49;35;Tidak;4,89
1;2;215;4.8;611;40;49;35;Tidak;4,80
1;2;225;4.66;614;40;49;35;Tidak;4,66
1;2;230;4.59;616;40;49;35;Tidak;4,59
1;2;235;4.52;618;40;49;35;Tidak;4,52
1;2;236;4.5;618;40;49;35;Tidak;4,50
1;2;238;4.48;619;39;49;35;Tidak;4,48
1;2;239;4.46;619;39;49;35;Tidak;4,46
1;2;241;4.44;620;39;49;35;Tidak;4,44
1;2;242;4.42;621;39;49;35;Tidak;4,42
1;2;243;4.41;621;39;49;35;Tidak;4,41
1;2;242;4.42;620;39;49;35;Tidak;4,42
1;2;243;4.41;621;39;49;34;Tidak;4,41
1;2;244;4.39;622;39;49;34;Tidak;4,39
1;2;245;4.38;623;39;49;34;Tidak;4,38
1;2;243;4.41;622;39;49;34;Tidak;4,41
1;2;244;4.39;623;39;48;34;Tidak;4,39
1;2;244;4.39;623;39;48;34;Tidak;4,39
1;2;245;4.38;623;39;48;34;Tidak;4,38
1;2;244;4.39;624;39;48;34;Tidak;4,39
1;2;245;4.38;625;39;48;34;Tidak;4,38
1;2;244;4.39;625;39;48;34;Tidak;4,39
1;2;245;4.38;625;39;48;33;Tidak;4,38
1;2;245;4.38;625;39;48;33;Tidak;4,38
1;2;245;4.38;626;39;48;33;Tidak;4,38
1;2;245;4.38;626;39;48;33;Tidak;4,38
1;2;246;4.37;627;39;48;34;Tidak;4,37
1;2;246;4.37;626;39;48;34;Tidak;4,37
1;2;247;4.35;627;39;48;34;Tidak;4,35
1;2;247;4.35;627;39;48;34;Tidak;4,35
1;2;248;4.34;628;39;47;35;Tidak;4,34
1;2;247;4.35;628;39;47;35;Tidak;4,35
1;2;246;4.37;628;39;47;35;Tidak;4,37
1;2;246;4.37;627;39;47;35;Tidak;4,37
1;2;246;4.37;628;39;47;35;Tidak;4,37
1;2;246;4.37;628;39;47;35;Tidak;4,37
1;2;246;4.37;628;39;47;36;Tidak;4,37
1;3;246;4.37;628;39;47;36;Tidak;4,37
1;3;247;4.35;629;39;47;36;Tidak;4,35
1;3;246;4.37;629;39;47;36;Tidak;4,37
1;3;247;4.35;629;39;46;36;Tidak;4,35
1;3;247;4.35;629;39;47;36;Tidak;4,35
1;3;249;4.32;630;38;47;36;Tidak;4,32
1;3;247;4.35;630;38;47;36;Tidak;4,35
1;3;248;4.34;630;38;47;36;Tidak;4,34
1;3;247;4.35;630;38;47;36;Tidak;4,35
1;3;248;4.34;631;38;47;36;Tidak;4,34
1;3;247;4.35;631;38;47;36;Tidak;4,35
1;3;248;4.34;631;38;47;36;Tidak;4,34
1;3;247;4.35;631;38;47;36;Tidak;4,35
1;3;248;4.34;632;38;47;36;Tidak;4,34
1;3;246;4.37;631;38;47;36;Tidak;4,37
1;3;248;4.34;632;38;47;37;Tidak;4,34
1;3;248;4.34;632;38;47;37;Tidak;4,34
1;3;249;4.32;633;38;47;37;Tidak;4,32
1;3;248;4.34;632;38;47;37;Tidak;4,34
1;3;249;4.32;633;38;47;39;Tidak;4,32
1;3;249;4.32;633;38;47;39;Tidak;4,32
1;3;249;4.32;633;38;47;39;Tidak;4,32
1;3;248;4.34;633;38;47;39;Tidak;4,34
1;3;249;4.32;633;38;47;39;Tidak;4,32
1;3;249;4.32;633;38;47;39;Tidak;4,32
1;3;250;4.31;634;38;47;40;Tidak;4,31
1;3;249;4.32;634;38;47;40;Tidak;4,32
1;3;250;4.31;634;38;47;41;Tidak;4,31
1;3;249;4.32;635;38;47;41;Tidak;4,32
1;3;250;4.31;635;38;47;42;Tidak;4,31
1;3;249;4.32;636;38;47;42;Tidak;4,32
1;3;250;4.31;636;38;47;42;Tidak;4,31
1;3;249;4.32;636;38;47;42;Tidak;4,32
1;3;250;4.31;637;38;47;43;Tidak;4,31
1;3;249;4.32;637;38;47;43;Tidak;4,32
1;3;250;4.31;637;38;47;44;Tidak;4,31
1;3;249;4.32;638;38;47;44;Tidak;4,32
1;3;250;4.31;638;38;47;45;Tidak;4,31
1;3;251;4.3;638;38;47;45;Tidak;4,30
1;3;251;4.3;639;38;47;46;Tidak;4,30
1;3;250;4.31;639;38;47;46;Tidak;4,31
1;3;251;4.3;639;38;47;47;Tidak;4,30
1;3;249;4.32;639;38;47;47;Tidak;4,32
1;3;251;4.3;640;37;47;48;Tidak;4,30
1;3;250;4.31;640;37;47;48;Tidak;4,31
1;3;252;4.28;640;37;47;49;Tidak;4,28
1;3;251;4.3;640;37;47;49;Tidak;4,30
1;3;251;4.3;640;37;47;51;Tidak;4,30
1;3;250;4.31;641;37;47;51;Tidak;4,31
1;3;251;4.3;642;37;47;52;Tidak;4,30
1;3;250;4.31;641;37;47;52;Tidak;4,31
1;3;252;4.28;642;37;47;52;Tidak;4,28
1;3;251;4.3;642;37;47;52;Tidak;4,30
1;3;253;4.27;643;37;47;54;Tidak;4,27
1;3;251;4.3;642;37;47;54;Tidak;4,30
1;3;253;4.27;643;37;47;55;Tidak;4,27
1;3;254;4.25;643;37;47;55;Tidak;4,25
1;3;253;4.27;643;37;47;55;Tidak;4,27
1;3;253;4.27;644;37;47;55;Tidak;4,27
1;3;252;4.28;643;37;47;56;Tidak;4,28
1;3;252;4.28;644;37;47;56;Tidak;4,28
1;3;252;4.28;644;37;47;57;Tidak;4,28
1;3;252;4.28;645;37;47;57;Tidak;4,28
1;3;254;4.25;645;37;47;57;Tidak;4,25
1;3;252;4.28;645;37;47;57;Tidak;4,28
1;3;253;4.27;646;37;47;58;Tidak;4,27
1;3;254;4.25;646;37;47;58;Tidak;4,25
1;3;254;4.25;646;37;47;59;Tidak;4,25
1;3;251;4.3;645;37;47;59;Tidak;4,30
1;3;252;4.28;646;37;47;59;Tidak;4,28
1;3;252;4.28;646;37;47;59;Tidak;4,28
1;3;252;4.28;647;37;47;60;Tidak;4,28
1;3;251;4.3;646;37;47;60;Tidak;4,30
1;3;252;4.28;646;37;47;61;Tidak;4,28
1;3;250;4.31;646;37;47;61;Tidak;4,31
1;3;251;4.3;646;37;47;61;Tidak;4,30
1;3;250;4.31;647;37;47;61;Tidak;4,31
1;3;251;4.3;647;37;47;61;Tidak;4,30
1;3;250;4.31;647;37;47;61;Tidak;4,31
1;3;251;4.3;647;37;47;62;Tidak;4,30
1;3;251;4.3;648;37;47;62;Tidak;4,30
1;3;254;4.25;645;37;47;62;Tidak;4,25
1;3;250;4.31;647;37;47;62;Tidak;4,31
1;3;250;4.31;647;37;47;57;Tidak;4,31
1;3;250;4.31;647;37;47;57;Tidak;4,31
1;3;251;4.3;648;37;47;36;Tidak;4,30
1;3;251;4.3;648;37;47;36;Tidak;4,30
1;3;251;4.3;648;37;47;36;Tidak;4,30
1;3;249;4.32;648;37;47;36;Tidak;4,32
1;3;250;4.31;648;37;47;36;Tidak;4,31
1;3;250;4.31;649;37;47;36;Tidak;4,31
1;3;251;4.3;649;37;47;36;Tidak;4,30
1;3;250;4.31;649;37;47;36;Tidak;4,31
1;3;251;4.3;649;37;47;36;Tidak;4,30
1;3;186;5.2;864;16;47;36;Ya;5,20
1;3;258;4.2;395;61;47;36;Tidak;4,20
1;3;139;5.85;423;59;47;36;Ya;5,85
1;3;206;4.92;394;61;47;36;Tidak;4,92
1;3;225;4.66;397;61;47;36;Tidak;4,66
1;3;245;4.38;406;60;47;36;Tidak;4,38
1;3;255;4.24;411;60;47;37;Tidak;4,24
1;3;262;4.14;414;60;47;37;Tidak;4,14
1;3;265;4.1;416;59;47;37;Tidak;4,10
1;3;268;4.06;417;59;47;37;Tidak;4,06
1;3;269;4.05;417;59;47;39;Tidak;4,05
1;3;138;5.87;438;57;47;39;Ya;5,87
1;3;182;5.26;433;58;47;39;Ya;5,26
1;3;144;5.78;438;57;47;39;Ya;5,78
1;3;157;5.6;437;57;47;39;Ya;5,60
1;3;166;5.48;437;57;47;39;Ya;5,48
1;3;112;6.23;437;57;47;40;Ya;6,23
1;3;105;6.33;437;57;47;40;Ya;6,33
1;3;171;5.41;436;57;47;41;Ya;5,41
1;3;98;6.42;437;57;47;41;Ya;6,42
1;3;191;5.13;389;62;47;42;Ya;5,13
1;3;231;4.57;393;62;47;42;Tidak;4,57
1;3;191;5.13;364;64;47;42;Ya;5,13
1;3;193;5.1;364;64;47;42;Ya;5,10
1;3;209;4.88;378;63;47;43;Tidak;4,88
1;3;212;4.84;379;63;47;43;Tidak;4,84
1;3;219;4.74;384;62;47;44;Tidak;4,74
1;3;221;4.71;386;62;47;44;Tidak;4,71
1;3;225;4.66;388;62;47;45;Tidak;4,66
1;3;228;4.62;391;62;47;45;Tidak;4,62
1;3;231;4.57;392;62;47;46;Tidak;4,57
1;3;235;4.52;395;61;47;46;Tidak;4,52
1;3;236;4.5;396;61;47;47;Tidak;4,50
1;3;239;4.46;397;61;47;47;Tidak;4,46
1;3;240;4.45;398;61;47;48;Tidak;4,45
1;3;241;4.44;399;61;47;48;Tidak;4,44
1;3;242;4.42;399;61;47;49;Tidak;4,42
1;3;242;4.42;400;61;47;49;Tidak;4,42
1;3;243;4.41;400;61;47;51;Tidak;4,41
1;3;243;4.41;401;61;47;51;Tidak;4,41
1;3;243;4.41;401;61;47;52;Tidak;4,41
1;3;244;4.39;401;61;47;52;Tidak;4,39
1;3;244;4.39;402;61;47;52;Tidak;4,39
1;3;245;4.38;402;61;47;52;Tidak;4,38
1;3;246;4.37;403;61;47;54;Tidak;4,37
1;3;247;4.35;403;61;47;54;Tidak;4,35
1;3;246;4.37;403;61;47;55;Tidak;4,37
1;3;247;4.35;404;61;47;55;Tidak;4,35
1;3;247;4.35;404;61;47;55;Tidak;4,35
1;3;249;4.32;405;60;47;55;Tidak;4,32
1;3;248;4.34;405;60;47;56;Tidak;4,34
1;3;250;4.31;406;60;47;56;Tidak;4,31
1;3;250;4.31;406;60;47;57;Tidak;4,31
1;3;250;4.31;406;60;47;57;Tidak;4,31
1;3;249;4.32;407;60;47;57;Tidak;4,32
1;3;247;4.35;407;60;47;57;Tidak;4,35
1;4;251;4.3;407;60;41;57;Tidak;4,30
1;4;252;4.28;408;60;41;57;Tidak;4,28
1;4;254;4.25;409;60;41;57;Tidak;4,25
1;4;254;4.25;410;60;41;58;Tidak;4,25
1;4;255;4.24;410;60;41;58;Tidak;4,24
1;4;255;4.24;411;60;41;58;Tidak;4,24
1;4;253;4.27;410;60;41;58;Tidak;4,27
1;4;255;4.24;411;60;41;58;Tidak;4,24
1;4;253;4.27;410;60;41;58;Tidak;4,27
1;4;256;4.23;411;60;41;59;Tidak;4,23
1;4;255;4.24;412;60;41;59;Tidak;4,24
1;4;257;4.21;412;60;41;58;Tidak;4,21
1;4;262;4.14;415;59;41;58;Tidak;4,14
1;4;261;4.16;416;59;41;58;Tidak;4,16
1;4;260;4.17;415;59;41;58;Tidak;4,17
1;4;259;4.19;415;59;41;58;Tidak;4,19
1;4;260;4.17;415;59;41;58;Tidak;4,17
1;4;261;4.16;415;59;41;59;Tidak;4,16
1;4;261;4.16;416;59;41;59;Tidak;4,16
1;4;261;4.16;416;59;41;59;Tidak;4,16
1;4;260;4.17;415;59;41;59;Tidak;4,17
1;4;265;4.1;417;59;41;60;Tidak;4,10
1;4;263;4.13;417;59;41;60;Tidak;4,13
1;4;265;4.1;418;59;41;60;Tidak;4,10
1;4;263;4.13;418;59;41;60;Tidak;4,13
1;4;264;4.12;418;59;41;60;Tidak;4,12
1;4;261;4.16;417;59;41;60;Tidak;4,16
1;4;261;4.16;417;59;41;60;Tidak;4,16
1;4;262;4.14;417;59;41;60;Tidak;4,14
1;4;261;4.16;417;59;41;61;Tidak;4,16
1;4;260;4.17;417;59;41;61;Tidak;4,17
1;4;262;4.14;418;59;41;60;Tidak;4,14
1;4;262;4.14;418;59;41;60;Tidak;4,14
1;4;263;4.13;419;59;41;59;Tidak;4,13
1;4;264;4.12;419;59;41;59;Tidak;4,12
1;4;265;4.1;420;59;41;59;Tidak;4,10
1;4;265;4.1;419;59;41;59;Tidak;4,10
1;4;266;4.09;421;59;41;59;Tidak;4,09
1;4;266;4.09;420;59;41;59;Tidak;4,09
1;4;268;4.06;422;59;41;60;Tidak;4,06
1;4;266;4.09;420;59;41;60;Tidak;4,09
1;4;267;4.07;422;59;41;60;Tidak;4,07
1;4;266;4.09;421;59;41;60;Tidak;4,09
1;4;267;4.07;422;59;41;61;Tidak;4,07
1;4;267;4.07;423;59;41;61;Tidak;4,07
1;4;269;4.05;423;59;41;61;Tidak;4,05
1;4;268;4.06;423;59;41;61;Tidak;4,06
1;4;269;4.05;423;59;41;62;Tidak;4,05
1;4;269;4.05;423;59;41;62;Tidak;4,05
1;4;273;3.99;425;58;42;62;Tidak;3,99
1;4;272;4;424;59;42;62;Tidak;4,00
1;4;274;3.98;426;58;42;62;Tidak;3,98
1;4;273;3.99;426;58;42;62;Tidak;3,99
1;4;276;3.95;427;58;42;63;Tidak;3,95
1;4;275;3.96;426;58;42;63;Tidak;3,96
1;4;277;3.93;428;58;42;63;Tidak;3,93
1;4;274;3.98;427;58;42;63;Tidak;3,98
1;4;275;3.96;427;58;42;62;Tidak;3,96
1;4;272;4;426;58;42;62;Tidak;4,00
1;4;270;4.03;425;58;42;62;Tidak;4,03
1;4;272;4;426;58;42;62;Tidak;4,00
1;4;273;3.99;427;58;42;62;Tidak;3,99
1;4;273;3.99;427;58;42;62;Tidak;3,99
1;4;272;4;427;58;42;62;Tidak;4,00
1;4;271;4.02;426;58;42;62;Tidak;4,02
